"Year","id","Pvalue","slope","correlation"
9999,1,0,0.707,0.49
2009,1,0,0.905,0.791
2010,1,0,1.159,0.82
2011,1,0,1.34,0.803
2012,1,0,1.662,0.794
2013,1,0,1.801,0.814
2014,1,0,1.965,0.797
2015,1,0,2.291,0.796
9999,4,0.057,-0.089,-0.186
2009,4,0.4,-0.108,-0.235
2010,4,0.483,-0.101,-0.196
2011,4,0.516,-0.095,-0.182
2012,4,0.545,-0.082,-0.17
2013,4,0.634,-0.061,-0.134
2014,4,0.624,-0.071,-0.138
2015,4,0.55,-0.095,-0.168
9999,5,0,0.435,0.257
2009,5,0.015,0.475,0.28
2010,5,0.022,0.437,0.264
2011,5,0,0.762,0.41
2012,5,0,0.954,0.473
2013,5,0,1.134,0.517
2014,5,0,1.391,0.554
2015,5,0,1.563,0.573
9999,6,0,0.19,0.253
2009,6,0.005,0.328,0.37
2010,6,0.006,0.301,0.361
2011,6,0.004,0.311,0.379
2012,6,0.005,0.312,0.363
2013,6,0.015,0.303,0.322
2014,6,0.048,0.259,0.263
2015,6,0.096,0.214,0.223
9999,8,0,0.501,0.426
2009,8,0,0.715,0.515
2010,8,0.001,0.516,0.427
2011,8,0,0.727,0.574
2012,8,0,0.822,0.62
2013,8,0,0.954,0.67
2014,8,0,1.334,0.717
2015,8,0,1.897,0.705
9999,9,0.012,0.24,0.335
2009,9,0.011,0.917,0.826
2010,9,0.011,0.838,0.831
2011,9,0.025,0.824,0.773
2012,9,0.02,0.874,0.789
2013,9,0.019,0.985,0.792
2014,9,0.029,1.168,0.76
2015,9,0.034,1.422,0.746
9999,10,0.548,0.113,0.139
2009,10,0.29,-9.051,-0.898
2010,10,0.44,2.768,0.771
2011,10,0.314,2.208,0.881
2012,10,0.446,1.878,0.764
2013,10,0.284,2.505,0.902
2014,10,0.242,2.69,0.928
2015,10,0.294,3.309,0.895
9999,12,0.008,0.154,0.121
2009,12,0.047,0.336,0.244
2010,12,0.012,0.519,0.306
2011,12,0,0.824,0.424
2012,12,0,1.03,0.472
2013,12,0,1.085,0.465
2014,12,0,1.295,0.481
2015,12,0,1.392,0.468
9999,13,0,0.44,0.353
2009,13,0,0.665,0.565
2010,13,0,0.812,0.628
2011,13,0,0.99,0.678
2012,13,0,1.181,0.692
2013,13,0,1.26,0.679
2014,13,0,1.533,0.681
2015,13,0,1.869,0.715
9999,15,0.408,0.091,0.191
2009,15,0.423,1.584,0.788
2010,15,0.159,1.465,0.969
2011,15,0.272,1.088,0.91
2012,15,0.304,1.094,0.888
2013,15,0.173,1.508,0.963
2014,15,0.144,2.538,0.975
2015,15,0.234,3.537,0.933
9999,16,0,0.303,0.261
2009,16,0.027,0.345,0.334
2010,16,0.093,0.294,0.257
2011,16,0.079,0.34,0.267
