DisabledWorkers,State,StateCode,Year,TotalLabor,UnemploymentRate,Unemployed,DisabilityRate
204573,Alabama,1,2009,2162999,0.110,238252,0.095
11572,Alaska,2,2009,359647,0.077,27855,0.032
138396,Arizona,4,2009,3128110,0.099,310533,0.044
128375,Arkansas,5,2009,1358911,0.078,106512,0.094
639263,California,6,2009,18215140,0.112,2032568,0.035
87987,Colorado,8,2009,2722982,0.073,198539,0.032
74153,Connecticut,9,2009,1891077,0.079,150106,0.039
24937,Delaware,10,2009,437500,0.083,36188,0.057
458526,Florida,12,2009,9094825,0.104,946702,0.050
236868,Georgia,13,2009,4787749,0.099,475895,0.049
21698,Hawaii,15,2009,631690,0.072,45168,0.034
36525,Idaho,16,2009,757131,0.088,66409,0.048
262227,Illinois,17,2009,6618658,0.102,675429,0.040
175035,Indiana,18,2009,3193989,0.103,329004,0.055
68425,Iowa,19,2009,1687411,0.064,108163,0.041
65631,Kansas,20,2009,1518207,0.069,104334,0.043
190170,Kentucky,21,2009,2060162,0.103,213036,0.092
135077,Louisiana,22,2009,2064768,0.068,140884,0.065
53959,Maine,23,2009,696219,0.081,56265,0.078
108605,Maryland,24,2009,3032700,0.070,212455,0.036
179409,Massachusetts,25,2009,3470382,0.081,281372,0.052
293299,Michigan,26,2009,4903544,0.137,669741,0.060
109472,Minnesota,27,2009,2941976,0.078,228550,0.037
121217,Mississippi,28,2009,1269219,0.095,120289,0.096
190813,Missouri,29,2009,3049563,0.093,282852,0.063
24865,Montana,30,2009,501014,0.068,34301,0.050
38133,Nebraska,31,2009,991583,0.046,45935,0.038
52776,Nevada,32,2009,1349299,0.113,152541,0.039
39678,New Hampshire,33,2009,744227,0.062,46425,0.053
176927,New Jersey,34,2009,4550645,0.091,412075,0.039
55815,New Mexico,35,2009,940352,0.075,70861,0.059
470783,New York,36,2009,9647485,0.083,802999,0.049
296118,North Carolina,37,2009,4570789,0.106,483684,0.065
12872,North Dakota,38,2009,368665,0.041,15210,0.035
291040,Ohio,39,2009,5906768,0.103,609670,0.049
114708,Oklahoma,40,2009,1764432,0.064,112409,0.065
91803,Oregon,41,2009,1976638,0.113,222956,0.046
352884,Pennsylvania,42,2009,6400263,0.080,514912,0.055
32963,Rhode Island,44,2009,567280,0.110,62329,0.058
156502,South Carolina,45,2009,2152745,0.112,242075,0.073
16866,South Dakota,46,2009,446010,0.049,22017,0.038
217950,Tennessee,47,2009,3052678,0.105,319565,0.071
499728,Texas,48,2009,11910799,0.076,901896,0.042
39318,Utah,49,2009,1365850,0.073,99841,0.029
19567,Vermont,50,2009,359836,0.066,23732,0.054
190962,Virginia,51,2009,4118171,0.067,275655,0.046
150080,Washington,53,2009,3535200,0.092,323551,0.042
91273,West Virginia,54,2009,814027,0.077,62862,0.112
137596,Wisconsin,55,2009,3100348,0.086,266013,0.044
11312,Wyoming,56,2009,300120,0.063,18970,0.038
216038,Alabama,1,2010,2196042,0.105,231483,0.098
12119,Alaska,2,2010,361913,0.079,28497,0.033
144342,Arizona,4,2010,3089705,0.104,320251,0.047
133719,Arkansas,5,2010,1353338,0.082,110842,0.099
662232,California,6,2010,18336271,0.122,2244326,0.036
94404,Colorado,8,2010,2724417,0.087,238013,0.035
77298,Connecticut,9,2010,1911712,0.091,174263,0.040
25925,Delaware,10,2010,434419,0.084,36550,0.060
488461,Florida,12,2010,9212066,0.111,1018407,0.053
248887,Georgia,13,2010,4696676,0.105,494624,0.053
22686,Hawaii,15,2010,647249,0.069,44967,0.035
38716,Idaho,16,2010,761056,0.090,68230,0.051
274692,Illinois,17,2010,6625321,0.104,688274,0.041
186817,Indiana,18,2010,3175192,0.104,329584,0.059
71549,Iowa,19,2010,1678281,0.060,100834,0.043
69044,Kansas,20,2010,1500764,0.071,105806,0.046
199732,Kentucky,21,2010,2054375,0.102,209725,0.097
142796,Louisiana,22,2010,2086076,0.080,166224,0.068
55525,Maine,23,2010,695182,0.081,56552,0.080
115898,Maryland,24,2010,3073826,0.077,235334,0.038
187321,Massachusetts,25,2010,3480083,0.083,289265,0.054
314926,Michigan,26,2010,4798954,0.126,604913,0.066
115780,Minnesota,27,2010,2938795,0.074,217601,0.039
125555,Mississippi,28,2010,1306608,0.104,135729,0.096
202465,Missouri,29,2010,3056484,0.096,292949,0.066
26077,Montana,30,2010,500525,0.073,36527,0.052
39846,Nebraska,31,2010,993398,0.046,46038,0.040
55858,Nevada,32,2010,1358578,0.135,183804,0.041
42504,New Hampshire,33,2010,738257,0.058,43122,0.058
185970,New Jersey,34,2010,4555330,0.095,433875,0.041
58641,New Mexico,35,2010,936088,0.081,75934,0.063
490662,New York,36,2010,9595362,0.086,825639,0.051
310399,North Carolina,37,2010,4616691,0.109,501062,0.067
13570,North Dakota,38,2010,378342,0.038,14289,0.036
313105,Ohio,39,2010,5846886,0.103,599836,0.054
120235,Oklahoma,40,2010,1768284,0.068,120146,0.068
97786,Oregon,41,2010,1984039,0.106,210963,0.049
372365,Pennsylvania,42,2010,6380949,0.085,540062,0.058
34381,Rhode Island,44,2010,566704,0.112,63488,0.061
164930,South Carolina,45,2010,2155668,0.112,240623,0.077
17722,South Dakota,46,2010,441339,0.050,21984,0.040
230168,Tennessee,47,2010,3090795,0.097,298732,0.074
528238,Texas,48,2010,12241970,0.081,997338,0.043
41919,Utah,49,2010,1356097,0.078,106283,0.031
20774,Vermont,50,2010,359402,0.061,21914,0.058
199923,Virginia,51,2010,4157658,0.071,297272,0.048
159689,Washington,53,2010,3511326,0.100,350782,0.045
93663,West Virginia,54,2010,811125,0.087,70215,0.115
146516,Wisconsin,55,2010,3081512,0.087,267119,0.048
11804,Wyoming,56,2010,303297,0.064,19553,0.039
225847,Alabama,1,2011,2202670,0.096,212257,0.103
12825,Alaska,2,2011,365913,0.076,27752,0.035
150778,Arizona,4,2011,3037017,0.095,288547,0.050
138156,Arkansas,5,2011,1362682,0.083,113168,0.101
690007,California,6,2011,18415100,0.117,2156967,0.037
100000,Colorado,8,2011,2736079,0.084,228814,0.037
79684,Connecticut,9,2011,1914775,0.088,168808,0.042
26647,Delaware,10,2011,443346,0.075,33260,0.060
517600,Florida,12,2011,9300542,0.100,928904,0.056
264416,Georgia,13,2011,4748754,0.102,485449,0.056
23221,Hawaii,15,2011,660253,0.068,44934,0.035
40570,Idaho,16,2011,765178,0.083,63712,0.053
283252,Illinois,17,2011,6586893,0.097,638527,0.043
196965,Indiana,18,2011,3181991,0.091,290046,0.062
74258,Iowa,19,2011,1662376,0.055,92199,0.045
72365,Kansas,20,2011,1491087,0.065,97005,0.049
206189,Kentucky,21,2011,2056410,0.094,193482,0.100
149911,Louisiana,22,2011,2073217,0.078,162196,0.072
57511,Maine,23,2011,699281,0.079,55196,0.082
122028,Maryland,24,2011,3096561,0.072,224477,0.039
194434,Massachusetts,25,2011,3469308,0.073,251554,0.056
334677,Michigan,26,2011,4685164,0.104,486815,0.071
120648,Minnesota,27,2011,2946279,0.065,191015,0.041
129781,Mississippi,28,2011,1342808,0.100,134061,0.097
211253,Missouri,29,2011,3047786,0.085,258562,0.069
27277,Montana,30,2011,501225,0.069,34822,0.054
41215,Nebraska,31,2011,1003256,0.044,44197,0.041
58995,Nevada,32,2011,1373115,0.130,178851,0.043
45218,New Hampshire,33,2011,736302,0.054,39770,0.061
194312,New Jersey,34,2011,4565272,0.093,426808,0.043
60803,New Mexico,35,2011,930356,0.075,70051,0.065
506939,New York,36,2011,9517361,0.083,789304,0.053
321185,North Carolina,37,2011,4633072,0.103,475529,0.069
13989,North Dakota,38,2011,388634,0.035,13481,0.036
332135,Ohio,39,2011,5771469,0.088,510231,0.058
124067,Oklahoma,40,2011,1772666,0.059,104248,0.070
102606,Oregon,41,2011,1993889,0.095,189569,0.051
390415,Pennsylvania,42,2011,6395506,0.079,506761,0.061
35905,Rhode Island,44,2011,560056,0.110,61808,0.064
172568,South Carolina,45,2011,2175523,0.106,229623,0.079
18415,South Dakota,46,2011,440934,0.047,20880,0.042
241802,Tennessee,47,2011,3125307,0.090,280645,0.077
552723,Texas,48,2011,12504498,0.078,969403,0.044
44698,Utah,49,2011,1350444,0.067,91107,0.033
21661,Vermont,50,2011,358108,0.055,19645,0.060
206849,Virginia,51,2011,4211802,0.066,277476,0.049
168044,Washington,53,2011,3461428,0.093,321238,0.049
96330,West Virginia,54,2011,807021,0.081,65049,0.119
152850,Wisconsin,55,2011,3079759,0.078,238763,0.050
12442,Wyoming,56,2011,306815,0.058,17796,0.041
233849,Alabama,1,2012,2174972,0.080,173123,0.108
12931,Alaska,2,2012,365674,0.071,26066,0.035
154917,Arizona,4,2012,3031199,0.083,252774,0.051
140597,Arkansas,5,2012,1342327,0.076,101681,0.105
704936,California,6,2012,18551413,0.104,1923578,0.038
103473,Colorado,8,2012,2759437,0.079,217170,0.037
81125,Connecticut,9,2012,1888336,0.083,157641,0.043
27298,Delaware,10,2012,445708,0.072,32119,0.061
537803,Florida,12,2012,9391203,0.085,798785,0.057
277169,Georgia,13,2012,4788068,0.092,438272,0.058
23281,Hawaii,15,2012,647625,0.060,38903,0.036
42382,Idaho,16,2012,769617,0.072,55636,0.055
289906,Illinois,17,2012,6584691,0.090,591543,0.044
203621,Indiana,18,2012,3171569,0.083,264439,0.064
76228,Iowa,19,2012,1649169,0.051,83295,0.046
74640,Kansas,20,2012,1483574,0.057,85100,0.050
209409,Kentucky,21,2012,2058982,0.082,167944,0.102
154283,Louisiana,22,2012,2080664,0.071,147784,0.074
58922,Maine,23,2012,702799,0.075,52550,0.084
126323,Maryland,24,2012,3120678,0.070,217005,0.040
200147,Massachusetts,25,2012,3486326,0.067,232266,0.057
346803,Michigan,26,2012,4672484,0.091,426251,0.074
124641,Minnesota,27,2012,2958273,0.056,165130,0.042
132246,Mississippi,28,2012,1317447,0.090,118533,0.100
218208,Missouri,29,2012,3016161,0.070,210040,0.072
27897,Montana,30,2012,506446,0.060,30331,0.055
